,adr_ACH_close,adr_ATHE_close,adr_BGNE_close,adr_CAJ_close,adr_CEA_close,adr_GENE_close,adr_HMC_close,adr_HNP_close,adr_IMMP_close,adr_IMRN_close,adr_IX_close,adr_JHX_close,adr_KZIA_close,adr_LFC_close,adr_MESO_close,adr_MFG_close,adr_MUFG_close,adr_NMR_close,adr_PLL_close,adr_PTR_close,adr_SHI_close,adr_SMFG_close,adr_SNP_close,adr_SONY_close,adr_TAK_close,adr_TM_close,adr_WBK_close,adr_ZNH_close,date,underlying_1055_close,underlying_2600_close,underlying_2628_close,underlying_338_close,underlying_386_close,underlying_4502_close,underlying_6160_close,underlying_670_close,underlying_6758_close,underlying_7203_close,underlying_7267_close,underlying_7751_close,underlying_8306_close,underlying_8316_close,underlying_8411_close,underlying_857_close,underlying_8591_close,underlying_8604_close,underlying_902_close,underlying_ATH_close,underlying_GTG_close,underlying_IMC_close,underlying_IMM_close,underlying_JHX_close,underlying_KZA_close,underlying_MSB_close,underlying_PLL_close,underlying_WBC_close
0,11.83,1.39,308.27,23.54,23.86,4.57,29.68,13.8,3.53,5.89,83.78,32.84,13.62,10.26,8.51,2.92,5.4,5.41,69.3,35.24,24.1,7.15,51.8,111.79,17.25,154.28,19.25,36.55,2021-04-09,5.71,3.71,15.84,1.91,4.06,3750.0,187.3,3.69,12230.0,8418.0,3215.0,2576.0,582.6,3873.0,1560.0,2.73,1821.5,585.0,2.68,0.032,0.0095,0.2,0.455,42.85,1.82,2.23,0.95,25.21
1,11.08,1.28,294.83,23.78,23.57,4.21,29.78,14.0,3.5,5.63,84.14,31.97,12.13,10.22,8.45,2.88,5.35,5.34,67.03,35.36,24.7,7.12,52.25,111.39,17.15,154.09,19.36,35.75,2021-04-12,5.55,3.48,15.8,1.94,4.07,3754.0,183.3,3.64,12175.0,8435.0,3229.0,2601.0,583.1,3884.0,1551.0,2.72,1815.5,580.0,2.72,0.033,0.01,0.1975,0.445,41.65,1.785,2.23,0.895,25.3
2,11.55,1.26,300.31,23.49,23.22,4.23,29.91,13.9,3.57,5.68,83.64,32.03,12.13,10.2,8.64,2.86,5.33,5.36,69.51,35.61,24.82,7.06,53.63,111.88,17.0,155.77,19.33,35.34,2021-04-13,5.5,3.59,15.76,1.94,4.17,3716.0,178.0,3.6,12180.0,8507.0,3290.0,2552.0,586.5,3881.0,1543.5,2.74,1816.5,585.3,2.67,0.031,0.01,0.2,0.45,41.53,1.71,2.26,0.875,25.31
3,11.9,1.32,300.65,24.03,23.09,4.09,30.39,13.95,3.48,5.53,83.6,32.55,11.42,10.19,8.7,2.86,5.41,5.3,68.0,36.16,25.0,7.1,54.84,111.78,17.06,156.22,19.43,35.4,2021-04-14,5.52,3.74,15.78,1.96,4.26,3701.0,179.5,3.58,12190.0,8485.0,3287.0,2617.0,583.8,3849.0,1538.5,2.78,1816.0,571.0,2.69,0.032,0.0095,0.19,0.455,42.31,1.61,2.28,0.9,25.33
4,12.47,1.27,307.81,24.12,22.93,3.9,30.59,14.1,3.37,5.59,84.19,33.73,11.33,10.04,9.0,2.91,5.44,5.38,67.24,36.41,25.23,7.16,54.12,112.77,17.2,157.31,19.71,35.83,2021-04-15,5.51,3.92,15.54,1.96,4.2,3715.0,180.0,3.56,12205.0,8564.0,3330.0,2610.0,591.6,3910.0,1560.0,2.81,1822.5,582.5,2.7,0.032,0.0095,0.19,0.455,43.18,1.53,2.3,0.885,25.5
5,12.2,1.28,305.54,23.92,23.21,3.87,30.67,14.17,3.29,5.37,84.26,33.42,11.33,10.24,8.94,2.91,5.46,5.39,65.07,36.53,25.28,7.19,54.71,111.1,17.08,157.57,19.68,36.0,2021-04-16,5.59,3.79,15.74,1.97,4.27,3704.0,185.3,3.64,12080.0,8530.0,3326.0,2589.0,590.3,3885.0,1556.5,2.83,1820.5,582.0,2.73,0.031,0.009,0.19,0.44,42.81,1.53,2.32,0.87,25.32
6,12.26,1.28,303.37,23.91,23.13,3.85,30.68,14.34,3.29,5.41,82.6,33.59,10.98,10.12,8.81,2.87,5.42,5.33,65.98,36.7,25.46,7.14,54.88,109.98,16.96,156.41,19.55,36.35,2021-04-19,5.77,3.87,15.74,1.99,4.27,3706.0,185.5,3.64,11990.0,8522.0,3350.0,2598.5,589.9,3876.0,1542.5,2.84,1803.0,574.7,2.77,0.031,0.008,0.185,0.445,43.19,1.53,2.29,0.85,25.36
7,12.18,1.25,292.75,23.5,23.02,3.79,29.89,14.24,3.18,5.35,80.71,32.93,10.79,10.09,8.55,2.84,5.32,5.25,63.68,35.44,25.3,6.94,53.33,108.61,16.84,154.1,19.33,35.76,2021-04-20,5.7,3.9,15.74,1.99,4.25,3674.0,182.8,3.63,11865.0,8418.0,3274.0,2555.0,585.0,3827.0,1533.5,2.81,1781.0,576.5,2.76,0.03,0.008,0.185,0.43,42.92,1.48,2.24,0.85,25.24
8,12.48,1.44,302.0,23.44,22.81,3.83,30.05,14.26,3.21,5.4,82.26,33.86,10.57,10.48,8.85,2.87,5.37,5.28,67.57,35.09,25.18,6.97,51.47,108.44,16.92,155.14,19.51,35.62,2021-04-21,5.52,3.85,15.58,1.95,4.0,3606.0,177.9,3.56,11575.0,8212.0,3189.0,2486.0,571.3,3742.0,1505.5,2.74,1745.0,564.6,2.74,0.04,0.008,0.18,0.42,43.18,1.465,2.24,0.82,24.98
