country,adr_stock,lookback,entry,exit,stoploss,variant,is_ret,oos_ret,oos_hr,oos_max_dd
Australia,ATHE_ATH,100,1.0,-0.5,2.5,3a,0.51,0.06,90.91,0.02
Australia,GENE_GTG,100,1.5,-0.5,3.5,3a,5.94,0.15,71.43,0.03
Australia,IMMP_IMM,60,1.0,-0.5,3.0,1,2.67,0.04,60.0,0.03
Australia,IMRN_IMC,60,1.0,0.0,3.0,3b,1.18,0.07,84.21,0.02
Australia,JHX_JHX,100,1.0,0.0,3.5,3a,0.22,0.01,44.0,0.01
Australia,KZIA_KZA,100,1.0,-0.5,3.0,3b,1.81,-0.03,60.0,0.04
Australia,MESO_MSB,30,1.0,-0.5,3.5,3b,4.39,0.24,88.0,0.03
Australia,PLL_PLL,60,2.0,0.5,3.0,3a,25.13,0.02,71.43,0.0
Australia,WBK_WBC,100,1.5,0.5,3.5,3b,2.14,0.17,80.0,0.29
China,ACH_2600,30,1.5,-0.5,2.5,3a,0.42,-0.0,53.33,0.02
China,BGNE_6160,60,1.0,0.0,3.5,1,41.86,6.93,75.0,2.19
China,CEA_670,60,1.0,-0.5,2.5,1,0.47,-0.05,36.36,0.06
China,HNP_902,100,1.0,0.5,2.5,3a,0.71,0.0,44.44,0.02
China,LFC_2628,100,1.5,0.0,3.0,1,0.91,-0.46,25.0,0.47
China,PTR_857,30,2.0,-0.5,3.0,1,0.51,-0.14,20.0,0.21
China,SHI_338,100,1.0,-0.5,2.5,1,0.5,0.05,63.64,0.04
China,SNP_386,100,1.0,0.5,3.5,2,3.97,-0.04,39.13,0.46
China,ZNH_1055,100,1.0,0.5,3.0,3a,0.56,-0.14,50.0,0.25
Japan,CAJ_7751,30,1.5,-0.5,2.5,3b,1.89,-0.21,41.18,0.46
Japan,HMC_7267,60,2.0,0.5,3.0,1,1.65,-0.27,50.0,0.31
Japan,IX_8591,30,1.0,0.0,3.5,2,1.11,0.12,47.83,0.07
Japan,MFG_8411,100,1.5,-0.5,2.5,2,0.4,0.03,71.43,0.05
Japan,MUFG_8306,30,1.0,-0.5,3.5,2,3.65,0.1,44.44,0.32
Japan,NMR_8604,30,1.0,-0.5,3.5,2,0.45,-0.01,52.63,0.06
Japan,SMFG_8316,30,1.5,-0.5,3.0,2,4.09,0.25,50.0,0.21
Japan,SONY_6758,100,1.0,0.5,3.5,2,22.83,-12.39,12.5,12.77
Japan,TAK_4502,100,1.0,0.5,3.0,3b,8.85,3.71,58.06,0.73
Japan,TM_7203,30,2.0,0.5,2.5,3a,5.01,-0.22,66.67,0.46
